arrow-right-to-bracket;signout
arrow-rotate-left;corner-up-left
arrows-down-to-line;arrow-to-bottom
arrows-rotate;sync
arrows-spin;repeat
arrows-turn-to-dots;
arrow-turn-down;corner-right-down
arrow-up-right-from-square;external-link-alt
backward-step;step-backward
broom;brush-alt
business-time;briefcase-alt
chart-simple;chart
circle-pause;pause-circle
circle-play;play-circle
circle-question;question-circle
circle-xmark;times-circle
clipboard-question;file-question-alt
clock-rotate-left;file-question-alt
clone;copy
code-commit;code-branch
ellipsis-vertical;ellipsis-v
file-circle-check;file-check
file-circle-plus;file-plus
file-code;file-alt
flag;windsock
folder-tree;folder-network
hand-point-right;arrow-right
magnifying-glass-arrow-right;magnifying-glass-arrow-right
magnifying-glass-minus;search-minus
magnifying-glass-plus;search-plus
pencil;pen
person-digging;shovel
power-off;power
rectangle-list;list-ul
reply-all;envelope-receive
right-from-bracket;sign-out-alt
square-caret-left;angle-left
square-minus;minus-square
thumbtack;map-pin-alt
truck-fast;truck
up-right-and-down-left-from-center;expand-alt
user-pen;pen
volume-high;volume-up
wand-magic-sparkles;setting
xmark;times
